,P_abs,T_l,A_l,V_gc_ind,FqFm,R_ch,R_ch_vol,L_air,L_epidermis,Vac_frac,T,R,N_gcs,n,m,r,s,C_apo,A_closed,A_open,ATPase
0,0.8150926385271218,0.00019370718789364053,1.0,2.2626412317702807e-12,0.8092969928485613,0.17996974679948888,0.1915270802416992,0.2408790327698586,0.21485986184880057,0.8586449765835461,291.2138754723518,0.08205,448439180.71436095,1.9335479001730456,0.9926410596205066,7.886552791149116e-14,1.6786535033182197e-13,0.03367851707682942,2.3213386644497884,11.31897901503351,10.8166677425627
1,0.9231798686539983,0.00019002200657538033,1.0,1.250879736036138e-12,0.889162091832127,0.09353421711386928,0.19586856876322453,0.3371966326501723,0.19660571774871655,0.8377671577353591,286.319821561225,0.08205,1064044260.9376738,2.025073371398637,0.946227699328683,5.40014398519225e-14,1.6640626023350842e-13,0.02352382405540045,2.500598486418837,9.754648746269325,0.5498257657432057
2,0.8305070535516774,0.00021959913956095755,1.0,5.035745498637661e-13,0.8210602803104529,0.16788874640293214,0.2048237501451039,0.3315562835898008,0.20567387821594388,0.8166176868211841,286.8244597587676,0.08205,575827682.68365,2.1418888514269674,0.972835028588549,6.579620421105736e-14,2.457117756920352e-13,0.03406162062152329,2.802179897408977,3.338119524315335,7.823891004271181
3,0.880997920260518,0.00019151837076207927,1.0,8.629192206501014e-13,0.8665824665943463,0.05124446837599428,0.2044717989164178,0.30953758683008803,0.16995667487170307,0.8137262494910971,294.1688812017455,0.08205,385119517.30634,2.0774007653694877,0.9408479726944637,5.747589973469371e-14,1.5153275725087815e-13,0.02977048305226354,3.399461895722661,9.936389869340726,12.606737789722361
4,0.9155965002157652,0.00021980622799047236,1.0,7.391447185570989e-13,0.8463578306680946,0.05996860639923841,0.19344920722404058,0.3520658161393549,0.23867051632849848,0.8104905738564494,284.96306141378267,0.08205,1046352742.3164783,2.396011977178961,0.8177983288786516,7.654181197979049e-14,1.6529730343678186e-13,0.028420104566053234,3.305232575561254,7.650705539640287,10.970481148339399
5,0.8417865636392778,0.00019514723723594045,1.0,1.845159722378942e-12,0.8681279369483814,0.07192644684264814,0.19654851631657255,0.3048093318472225,0.19108456789911915,0.826058632051836,296.74244965609927,0.08205,990283237.2184393,2.1573270054837,0.8499855886805262,7.078096270446331e-14,1.4483668174801079e-13,0.02991695763553323,2.855719361236286,3.400068256667674,6.990641258665665
6,0.9125517748685454,0.00023574139801162418,1.0,2.797832663280972e-12,0.7917169644786796,0.12261196936005342,0.21156435826028686,0.20321798307471656,0.12108706718795159,0.788954681671229,286.42437770534445,0.08205,858040695.4576434,1.7188090141679038,0.9857385496033985,6.484944403318888e-14,2.8117579891289976e-13,0.028333686849548238,1.1563070512344478,11.339261270444338,2.6205319351406633
7,0.8119513192492277,0.00020343152758372935,1.0,1.7254377974139938e-12,0.8623050894003094,0.13477791073407963,0.20234532984972475,0.34205861761029943,0.14905114748075943,0.886573045616218,297.51593935985284,0.08205,564139450.451892,2.3457119214656337,0.9220655592367597,7.661761457589506e-14,1.7132174344784357e-13,0.02473426748154146,3.8363266730329393,11.685743338059307,0.8078191592502196
8,0.9402993846085854,0.00018862285615173035,1.0,2.044312108967596e-12,0.8410053219202869,0.12959430321473187,0.20538179131513293,0.33875198551263896,0.14257440278854513,0.8689780938250569,295.4156285105553,0.08205,235101779.68338203,1.6919014119917941,0.8455582047088842,5.5142673865769597e-14,2.7179262747601143e-13,0.029708398125958022,1.5637406778890055,10.529676879417543,11.684314150469937
9,0.8734537318824707,0.00017855480904529946,1.0,4.0162728578100106e-12,0.852946681644643,0.06174573002390918,0.20869932207536482,0.3650043098259674,0.185030170379391,0.7806908025573963,295.92957066027844,0.08205,807179848.9673414,1.7961690922724416,0.9202246408556707,5.617897550645092e-14,2.37319648139917e-13,0.03132494571978088,1.6644684184263805,9.055677208765477,5.677895008903546
